strategy,category,subcategory,allocation_pct
Income 10 (ETF),Equity,,10.0
Income 10 (ETF),Equity,US Large Cap Core,3.5197
Income 10 (ETF),Equity,US Real Estate,0.163
Income 10 (ETF),Equity,US Sector Equity,2.2634
Income 10 (ETF),Equity,US Mid Cap Core,0.3537
Income 10 (ETF),Equity,US Small Cap Core,1.0996
Income 10 (ETF),Equity,Int'l Developed Core,1.0496
Income 10 (ETF),Equity,Int'l Developed Small/Mid Cap,0.571
Income 10 (ETF),Equity,Emerging Markets Core,0.9799
Income 10 (ETF),Bonds,,89.1255
Income 10 (ETF),Bonds,US Aggregate Bond,39.8451
Income 10 (ETF),Bonds,US Treasury,12.8689
Income 10 (ETF),Bonds,US Corporate Bond,20.9032
Income 10 (ETF),Bonds,Int'l Bond,15.5082
Income 10 (ETF),Cash,,0.8745
Income 10 (ETF),Cash,Cash,0.2995
Income 10 (ETF),Cash,Money Market Taxable,0.575
"Income 10 (ETF, All Weather)",Equity,,10.0
"Income 10 (ETF, All Weather)",Equity,US Large Cap Core,3.3684
"Income 10 (ETF, All Weather)",Equity,US Real Estate,0.1457
"Income 10 (ETF, All Weather)",Equity,US Sector Equity,1.9898
"Income 10 (ETF, All Weather)",Equity,US Mid Cap Core,0.3614
"Income 10 (ETF, All Weather)",Equity,US Small Cap Core,1.0725
"Income 10 (ETF, All Weather)",Equity,Int'l Developed Core,1.4936
"Income 10 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,0.5006
"Income 10 (ETF, All Weather)",Equity,Emerging Markets Core,1.0681
"Income 10 (ETF, All Weather)",Bonds,,84.4257
"Income 10 (ETF, All Weather)",Bonds,US Aggregate Bond,33.8247
"Income 10 (ETF, All Weather)",Bonds,US Treasury,20.7791
"Income 10 (ETF, All Weather)",Bonds,US Corporate Bond,19.6226
"Income 10 (ETF, All Weather)",Bonds,Int'l Bond,10.1993
"Income 10 (ETF, All Weather)",Alternative,,4.1236
"Income 10 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Income 10 (ETF, All Weather)",Cash,,1.4507
"Income 10 (ETF, All Weather)",Cash,Cash,0.488
"Income 10 (ETF, All Weather)",Cash,Money Market Taxable,0.9627
Income 10 TM (ETF),Equity,,10.0
Income 10 TM (ETF),Equity,US Large Cap Core,3.5197
Income 10 TM (ETF),Equity,US Real Estate,0.163
Income 10 TM (ETF),Equity,US Sector Equity,2.2634
Income 10 TM (ETF),Equity,US Mid Cap Core,0.3537
Income 10 TM (ETF),Equity,US Small Cap Core,1.0996
Income 10 TM (ETF),Equity,Int'l Developed Core,1.0496
Income 10 TM (ETF),Equity,Int'l Developed Small/Mid Cap,0.571
Income 10 TM (ETF),Equity,Emerging Markets Core,0.9799
Income 10 TM (ETF),Bonds,,89.1255
Income 10 TM (ETF),Bonds,US Aggregate Bond,39.8451
Income 10 TM (ETF),Bonds,US Treasury,12.8689
Income 10 TM (ETF),Bonds,US Corporate Bond,20.9032
Income 10 TM (ETF),Bonds,Int'l Bond,15.5082
Income 10 TM (ETF),Cash,,0.8745
Income 10 TM (ETF),Cash,Cash,0.2995
Income 10 TM (ETF),Cash,Money Market Taxable,0.575
Income 100 (ETF),Equity,,100.0
Income 100 (ETF),Equity,US Large Cap Core,35.1972
Income 100 (ETF),Equity,US Real Estate,1.6299
Income 100 (ETF),Equity,US Sector Equity,22.6344
Income 100 (ETF),Equity,US Mid Cap Core,3.5374
Income 100 (ETF),Equity,US Small Cap Core,10.9956
Income 100 (ETF),Equity,Int'l Developed Core,10.4962
Income 100 (ETF),Equity,Int'l Developed Small/Mid Cap,5.7105
Income 100 (ETF),Equity,Emerging Markets Core,9.7988
Income 100 (ETF),Cash,,0.8745
Income 100 (ETF),Cash,Cash,0.3862
Income 100 (ETF),Cash,Money Market Taxable,0.4883
"Income 100 (ETF, All Weather)",Equity,,100.0
"Income 100 (ETF, All Weather)",Equity,US Large Cap Core,33.6838
"Income 100 (ETF, All Weather)",Equity,US Real Estate,1.457
"Income 100 (ETF, All Weather)",Equity,US Sector Equity,19.8978
"Income 100 (ETF, All Weather)",Equity,US Mid Cap Core,3.6143
"Income 100 (ETF, All Weather)",Equity,US Small Cap Core,10.7246
"Income 100 (ETF, All Weather)",Equity,Int'l Developed Core,14.9356
"Income 100 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,5.006
"Income 100 (ETF, All Weather)",Equity,Emerging Markets Core,10.6809
"Income 100 (ETF, All Weather)",Alternative,,4.1236
"Income 100 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Income 100 (ETF, All Weather)",Cash,,1.4507
"Income 100 (ETF, All Weather)",Cash,Cash,0.4412
"Income 100 (ETF, All Weather)",Cash,Money Market Taxable,1.0095
"Income 100 (ETF, QUSLGDIV)",Equity,,100.0
"Income 100 (ETF, QUSLGDIV)",Equity,US Large Cap Core,35.1972
"Income 100 (ETF, QUSLGDIV)",Equity,US Real Estate,1.6299
"Income 100 (ETF, QUSLGDIV)",Equity,US Sector Equity,22.6344
"Income 100 (ETF, QUSLGDIV)",Equity,US Mid Cap Core,3.5374
"Income 100 (ETF, QUSLGDIV)",Equity,US Small Cap Core,10.9956
