strategy,asset_1,asset_2,correlation
Income 10 (ETF),US Equity,US Equity,1.0
Income 10 (ETF),US Equity,Int'l Equity,0.8572
Income 10 (ETF),US Equity,US Bonds,0.1728
Income 10 (ETF),US Equity,Real Estate,0.5671
Income 10 (ETF),US Equity,Commodities,0.3264
Income 10 (ETF),Int'l Equity,US Equity,0.8572
Income 10 (ETF),Int'l Equity,Int'l Equity,1.0
Income 10 (ETF),Int'l Equity,US Bonds,0.0896
Income 10 (ETF),Int'l Equity,Real Estate,0.5054
Income 10 (ETF),Int'l Equity,Commodities,0.4167
Income 10 (ETF),US Bonds,US Equity,0.1728
Income 10 (ETF),US Bonds,Int'l Equity,0.0896
Income 10 (ETF),US Bonds,US Bonds,1.0
Income 10 (ETF),US Bonds,Real Estate,0.2153
Income 10 (ETF),US Bonds,Commodities,-0.1293
Income 10 (ETF),Real Estate,US Equity,0.5671
Income 10 (ETF),Real Estate,Int'l Equity,0.5054
Income 10 (ETF),Real Estate,US Bonds,0.2153
Income 10 (ETF),Real Estate,Real Estate,1.0
Income 10 (ETF),Real Estate,Commodities,0.2792
Income 10 (ETF),Commodities,US Equity,0.3264
Income 10 (ETF),Commodities,Int'l Equity,0.4167
Income 10 (ETF),Commodities,US Bonds,-0.1293
Income 10 (ETF),Commodities,Real Estate,0.2792
Income 10 (ETF),Commodities,Commodities,1.0
"Income 10 (ETF, All Weather)",US Equity,US Equity,1.0
"Income 10 (ETF, All Weather)",US Equity,Int'l Equity,0.8406
"Income 10 (ETF, All Weather)",US Equity,US Bonds,0.1005
"Income 10 (ETF, All Weather)",US Equity,Real Estate,0.5883
"Income 10 (ETF, All Weather)",US Equity,Commodities,0.3294
"Income 10 (ETF, All Weather)",Int'l Equity,US Equity,0.8406
"Income 10 (ETF, All Weather)",Int'l Equity,Int'l Equity,1.0
"Income 10 (ETF, All Weather)",Int'l Equity,US Bonds,0.0679
"Income 10 (ETF, All Weather)",Int'l Equity,Real Estate,0.5255
"Income 10 (ETF, All Weather)",Int'l Equity,Commodities,0.3854
"Income 10 (ETF, All Weather)",US Bonds,US Equity,0.1005
"Income 10 (ETF, All Weather)",US Bonds,Int'l Equity,0.0679
"Income 10 (ETF, All Weather)",US Bonds,US Bonds,1.0
"Income 10 (ETF, All Weather)",US Bonds,Real Estate,0.2239
"Income 10 (ETF, All Weather)",US Bonds,Commodities,-0.1095
"Income 10 (ETF, All Weather)",Real Estate,US Equity,0.5883
"Income 10 (ETF, All Weather)",Real Estate,Int'l Equity,0.5255
"Income 10 (ETF, All Weather)",Real Estate,US Bonds,0.2239
"Income 10 (ETF, All Weather)",Real Estate,Real Estate,1.0
"Income 10 (ETF, All Weather)",Real Estate,Commodities,0.2401
"Income 10 (ETF, All Weather)",Commodities,US Equity,0.3294
"Income 10 (ETF, All Weather)",Commodities,Int'l Equity,0.3854
"Income 10 (ETF, All Weather)",Commodities,US Bonds,-0.1095
"Income 10 (ETF, All Weather)",Commodities,Real Estate,0.2401
"Income 10 (ETF, All Weather)",Commodities,Commodities,1.0
Income 10 TM (ETF),US Equity,US Equity,1.0
Income 10 TM (ETF),US Equity,Int'l Equity,0.8015
Income 10 TM (ETF),US Equity,US Bonds,0.125
Income 10 TM (ETF),US Equity,Real Estate,0.5817
Income 10 TM (ETF),US Equity,Commodities,0.3519
Income 10 TM (ETF),Int'l Equity,US Equity,0.8015
Income 10 TM (ETF),Int'l Equity,Int'l Equity,1.0
Income 10 TM (ETF),Int'l Equity,US Bonds,0.0758
Income 10 TM (ETF),Int'l Equity,Real Estate,0.5166
Income 10 TM (ETF),Int'l Equity,Commodities,0.3428
Income 10 TM (ETF),US Bonds,US Equity,0.125
Income 10 TM (ETF),US Bonds,Int'l Equity,0.0758
Income 10 TM (ETF),US Bonds,US Bonds,1.0
Income 10 TM (ETF),US Bonds,Real Estate,0.2121
Income 10 TM (ETF),US Bonds,Commodities,-0.0846
Income 10 TM (ETF),Real Estate,US Equity,0.5817
Income 10 TM (ETF),Real Estate,Int'l Equity,0.5166
Income 10 TM (ETF),Real Estate,US Bonds,0.2121
Income 10 TM (ETF),Real Estate,Real Estate,1.0
Income 10 TM (ETF),Real Estate,Commodities,0.3032
Income 10 TM (ETF),Commodities,US Equity,0.3519
Income 10 TM (ETF),Commodities,Int'l Equity,0.3428
Income 10 TM (ETF),Commodities,US Bonds,-0.0846
