Targeted Security,Equivalent Security,Equivalent Rank
iShares Core U.S. Aggregate Bond ETF (AGG),Vanguard Total Bond Market ETF (BND),1
iShares Core U.S. Aggregate Bond ETF (AGG),Fidelity US Bond Index Fund (FXNAX),2
iShares Core U.S. Aggregate Bond ETF (AGG),Schwab U.S. Aggregate Bond ETF (SCHZ),3
iShares Core U.S. Aggregate Bond ETF (AGG),Vanguard Total Bond Market Index Fund (VBTLX),4
WisdomTree Yield Enhanced US Aggregate Bond Fund (AGGY),iShares Core 5-10 Year USD Bond ETF (IMTB),1
WisdomTree Yield Enhanced US Aggregate Bond Fund (AGGY),Vanguard High-Yield Corporate Fund (VWEAX),2
Avantis Emerging Markets Equity ETF (AVEM),Dimensional Emerging Core Equity Market ETF (DFAE),1
Avantis Emerging Markets Equity ETF (AVEM),Emerging Markets Core Equity 2 Portfolio (DFCEX),2
Avantis Emerging Markets Equity ETF (AVEM),Dimensional Emerging Markets Core Equity 2 ETF (DFEM),3
Avantis Emerging Markets Equity ETF (AVEM),DFA Emerging Markets Portfolio (DFEMX),4
Avantis Emerging Markets Equity ETF (AVEM),DFA Emerging Markets Value Portfolio (DFEVX),5
Avantis US Small Cap Equity ETF (AVSC),AQR Small Cap Momentum Style Fund (ASMOX),1
Avantis US Small Cap Equity ETF (AVSC),Dimensional US Small Cap ETF (DFAS),2
Avantis US Small Cap Equity ETF (AVSC),DFA US Targeted Value Portfolio (DFFVX),3
Avantis US Small Cap Equity ETF (AVSC),DFA US Small Cap Portfolio (DFSTX),4
Avantis US Small Cap Equity ETF (AVSC),DFA US Small Cap Value Portfolio (DFSVX),5
Avantis US Small Cap Equity ETF (AVSC),Fidelity Small Cap Index Fund (FSSNX),6
Avantis US Small Cap Equity ETF (AVSC),iShares Core S&P Small-Cap ETF (IJR),7
Avantis US Small Cap Equity ETF (AVSC),iShares Russell 2000 ETF (IWM),8
Avantis US Small Cap Equity ETF (AVSC),Schwab US Small-Cap ETF (SCHA),9
Avantis US Small Cap Equity ETF (AVSC),Vanguard Small-Cap Value ETF (VBR),10
Avantis US Small Cap Equity ETF (AVSC),Vanguard Small-Cap Index Fund (VSMAX),11
Avantis Responsible International Equity ETF (AVSD),DFA International Sustainability Core 1 Portfolio (DFSPX),1
Avantis Responsible US Equity ETF (AVSU),DFA US Sustainability Targeted Value Portfolio (DAABX),1
Avantis Responsible US Equity ETF (AVSU),DFA US Sustainability Core 1 Portfolio (DFSIX),2
Avantis Emerging Markets ex-China Equity ETF (AVXC),Dimensional Emerging Markets ex China Core Equity ETF (DEXC),1
iShares USD Green Bond ETF (BGRN),DFA Global Sustainability Fixed Income Portfolio (DGSFX),1
Vanguard Total International Bond ETF (BNDX),Vanguard Total World Bond ETF (BNDW),1
Vanguard Total International Bond ETF (BNDX),SPDR Bloomberg International Treasury Bond ETF (BWX),2
