Recommended,Strategy,Type,Equity %,Tax-Managed,Yield,Minimum,ID,Strategy Type,Strategy Subtype,IC Status,Expense Ratio,Blended,Private Markets
TRUE,Income 10 (ETF),Income Series,10,FALSE,3.8498952,125000,373,Risk-Based,Income,Recommended,0.07605,FALSE,FALSE
TRUE,"Income 10 (ETF, All Weather)",Income Series,10,FALSE,4.1962619,181000,374,Risk-Based,Income,Recommended,0.1248696,FALSE,TRUE
TRUE,Income 10 TM (ETF),Income Series,10,TRUE,3.0222243,125000,376,Risk-Based,Income,Recommended,0.11259,FALSE,FALSE
TRUE,Income 100 (ETF),Income Series,100,FALSE,2.2046853,13000,378,Risk-Based,Income,Recommended,0.1341,FALSE,FALSE
TRUE,"Income 100 (ETF, All Weather)",Income Series,100,FALSE,3.4362557,19000,379,Risk-Based,Income,Recommended,0.4980955,FALSE,TRUE
TRUE,"Income 100 (ETF, QUSLGDIV)",Income Series,100,FALSE,0,167000,382,Risk-Based,Income,Recommended,0.1971,FALSE,FALSE
TRUE,Income 20 (ETF),Income Series,20,FALSE,3.6670941,63000,383,Risk-Based,Income,Recommended,0.0825,FALSE,FALSE
TRUE,"Income 20 (ETF, All Weather)",Income Series,20,FALSE,4.1118167,91000,384,Risk-Based,Income,Recommended,0.1663391,FALSE,TRUE
TRUE,"Income 20 (ETF, B5YCRP)",Income Series,20,FALSE,0,196000,385,Risk-Based,Income,Recommended,0.10682,FALSE,FALSE
TRUE,"Income 20 (ETF, QUSLGDIV)",Income Series,20,FALSE,0,834000,388,Risk-Based,Income,Recommended,0.0951,FALSE,FALSE
TRUE,"Income 20 (ETF, QUSLGDIV, B5YCRP)",Income Series,20,FALSE,0,834000,389,Risk-Based,Income,Recommended,0.11942,FALSE,FALSE
TRUE,Income 20 TM (ETF),Income Series,20,TRUE,2.9313867,63000,390,Risk-Based,Income,Recommended,0.11498,FALSE,FALSE
TRUE,"Income 20 TM (ETF, N7YMUN)",Income Series,20,TRUE,0,235000,393,Risk-Based,Income,Recommended,0.13162,FALSE,FALSE
TRUE,"Income 20 TM (ETF, QUSLGDIV)",Income Series,20,TRUE,0,834000,394,Risk-Based,Income,Recommended,0.12758,FALSE,FALSE
TRUE,"Income 20 TM (ETF, QUSLGDIV, N7YMUN)",Income Series,20,TRUE,0,834000,395,Risk-Based,Income,Recommended,0.14422,FALSE,FALSE
TRUE,Income 30 (ETF),Income Series,30,FALSE,3.484293,42000,396,Risk-Based,Income,Recommended,0.08895,FALSE,FALSE
TRUE,"Income 30 (ETF, All Weather)",Income Series,30,FALSE,4.0273716,61000,397,Risk-Based,Income,Recommended,0.2078087,FALSE,TRUE
TRUE,"Income 30 (ETF, B5YCRP)",Income Series,30,FALSE,0,224000,398,Risk-Based,Income,Recommended,0.11023,FALSE,FALSE
TRUE,"Income 30 (ETF, QUSLGDIV)",Income Series,30,FALSE,0,556000,401,Risk-Based,Income,Recommended,0.10785,FALSE,FALSE
TRUE,"Income 30 (ETF, QUSLGDIV, B5YCRP)",Income Series,30,FALSE,0,556000,402,Risk-Based,Income,Recommended,0.12913,FALSE,FALSE
TRUE,Income 30 TM (ETF),Income Series,30,TRUE,2.840549,42000,403,Risk-Based,Income,Recommended,0.11737,FALSE,FALSE
